-0.0	9.976525617691833e-6	4.9882628088459165e-6	7.373876479647408e-18	0.0017728389423837783	7.373876479647408e-18	0.0017728389423837783	0.00017829055937670633
9.976525617691833e-6	1.998497611736028e-5	1.4980750867526056e-5	3.648299121979184e-17	0.001246195347240886	4.385686769943925e-17	0.0013117108189424063	0.0003072112164148765
1.998497611736009e-5	3.002545365862748e-5	2.5005214887993788e-5	8.023641853974394e-17	0.0010035750163237694	1.240932862391832e-16	0.0010944374425741784	0.00042159886522269327
3.002545365862738e-5	4.009806072802682e-5	3.5061757193327104e-5	1.3259818577734206e-16	0.0008463340274430149	2.5669147201652526e-16	0.0009505013180846166	0.0005247036858791567
4.0098060728027344e-5	5.020290014004887e-5	4.5150480434038106e-5	1.901674350204171e-16	0.000731582221368948	4.468589070369423e-16	0.0008431316464198746	0.0006187153427383244
5.02029001400486e-5	6.034007503818859e-5	5.5271487589118596e-5	2.4785179595122603e-16	0.0006351075259948059	6.947107029881683e-16	0.0007549146314415916	0.0007036701870698527
6.034007503818832e-5	7.050968889600236e-5	6.542488196709535e-5	3.0348527527053713e-16	0.0005536863906641144	9.981959782587054e-16	0.0006797994533470679	0.0007802855925133266
7.050968889600246e-5	8.07118455181615e-5	7.561076720708198e-5	3.633549846964767e-16	0.0004949981563148391	1.361550962955182e-15	0.0006182063461693157	0.0008517622559259022
8.071184551816138e-5	9.094664904151134e-5	8.582924727983636e-5	4.2171196316484393e-16	0.00044457150062101214	1.783262926120026e-15	0.0005659351459212024	0.0009182996499101482
9.094664904151185e-5	0.00010121420393613653	9.60804264888242e-5	4.802898086544468e-16	0.0004028501449938364	2.2635527347744727e-15	0.0005211678495152301	0.000980719150766111
0.00010121420393613612	0.0001115146150064236	0.00010636440947127987	5.415264937952019e-16	0.0003695075768157539	2.805079228569675e-15	0.00048290439152088265	0.0010401039622905815
0.00011151461500642361	0.000121847987392136	0.00011668130119927981	5.935120142574799e-16	0.0003354990451188969	3.398591242827155e-15	0.00044849256125749007	0.0010952426977144248
0.00012184798739213629	0.00013221442656948296	0.00012703120698080963	6.491384820525162e-16	0.0003086285453786814	4.047729724879671e-15	0.0004181059611159942	0.0011474569731777108
0.00013221442656948302	0.0001426140383521972	0.0001374142324608401	7.111959098992099e-16	0.0002880657250597713	4.758925634778881e-15	0.00039168187542426537	0.0011979629859311045
0.00014261403835219677	0.00015304692889261566	0.00014783048362240623	7.731289178944697e-16	0.0002697299619661052	5.532054552673351e-15	0.00036840370312384593	0.00124681206684874
0.0001530469288926159	0.00016351320468276412	0.00015828006678769003	8.335780365818783e-16	0.0002528911067540746	6.365632589255229e-15	0.0003476117660855672	0.0012939409232481382
0.00016351320468276404	0.00017401297255544072	0.0001687630886191024	8.915156755371742e-16	0.00023716162877026765	7.257148264792404e-15	0.00032880053005406864	0.0013392518790428635
0.0001740129725554412	0.00018454633968531048	0.00017927965612037585	9.404031388219369e-16	0.0002209785141659109	8.19755140361434e-15	0.00031137176756260165	0.0013821635503490017
0.0001845463396853099	0.00019511341358999473	0.0001898298766376523	1.0014395379475425e-15	0.0002092275465910452	9.198990941561881e-15	0.0002956583851093907	0.0014239561361273577
0.00019511341358999498	0.0002057143021311748	0.0002004138578605849	1.0664937899906175e-15	0.00019927345730441967	1.02654847315525e-14	0.00028151231089543725	0.0014649660718861184
0.00020571430213117497	0.00021634911351568658	0.00021103170782343076	1.1315531089344953e-15	0.00019008504850931846	1.1397037840486995e-14	0.000268681658756397	0.0015051802614958723
0.00021634911351568655	0.0002270179562966286	0.0002216835349061576	1.1958165540904718e-15	0.0001814624163221239	1.2592854394577467e-14	0.0002569537401427427	0.0015445503331062522
0.00022701795629662838	0.00023772093937446945	0.00023236944783554893	1.2587010188558428e-15	0.0001732898215726553	1.385155541343331e-14	0.0002461544102387318	0.0015830171954310946
0.00023772093937446972	0.00024845817199815987	0.0002430895556863148	1.309070111373043e-15	0.00016415627127173995	1.5160625524806352e-14	0.00023597644512431367	0.0016199514422950403
0.0002484581719981597	0.00025922976376624565	0.0002538439678822027	1.3694457470820163e-15	0.00015698430121669673	1.653007127188837e-14	0.0002265330250932003	0.001656017837433542
0.0002592297637662454	0.0002700358246279892	0.0002646327941971173	1.433955125203213e-15	0.00015076850217788463	1.7964026397091584e-14	0.00021779651322473506	0.0016914580433107322
0.00027003582462798933	0.00028087646488449077	0.0002754561447562401	1.5008405229285947e-15	0.00014518066125767886	1.946486692002018e-14	0.00020970885940794172	0.0017263868669180216
0.00028087646488449104	0.0002917517951898133	0.00028631413003715213	1.5692225862399432e-15	0.0001400536572671263	2.1034089506260124e-14	0.00020220621379901554	0.0017608613851623068
0.0002917517951898132	0.0003026619265521125	0.0002972068608709629	1.6371065273758977e-15	0.00013516699805937163	2.267119603363602e-14	0.00019521466793917094	0.001794850991910334
0.00030266192655211213	0.0003136069703347707	0.0003081344484434414	1.6932755924498286e-15	0.0001296504754446304	2.436447162608585e-14	0.00018858678970121813	0.0018279138552462632
0.0003136069703347714	0.0003245870382575345	0.0003190970042961529	1.7605002707583904e-15	0.0001252947580745207	2.612497189684424e-14	0.00018237852676734876	0.0018605117141602813
0.000324587038257534	0.00033560224239764997	0.000330094640327592	1.832401478367243e-15	0.00012147893474591288	2.7957373375211483e-14	0.0001765766183329118	0.0018928048306704002
0.0003356022423976503	0.00034665269519101465	0.00034112746879433244	1.9003107795849718e-15	0.000117588089591076	2.985768415479646e-14	0.00017111329996831608	0.0019246459431293745
